date,oil
2019-01-23,90
2019-01-24,93
2019-01-25,90
2019-01-26,96
2019-01-27,96
2019-01-28,96
2019-01-29,90
2019-01-30,91
2019-01-31,92
2019-02-01,90
2019-02-02,97
2019-02-03,93
2019-02-04,90
2019-02-05,92
2019-02-06,90
2019-02-07,93
2019-02-08,91
2019-02-09,96
2019-02-10,91
2019-02-11,88
2019-02-12,88
2019-02-13,85
2019-02-14,83
2019-02-15,85
2019-02-16,95
2019-02-17,95
2019-02-18,91
2019-02-19,89
2019-02-20,87
2019-02-21,86
2019-02-22,86
2019-02-23,92
2019-02-24,90
2019-02-25,89
2019-02-26,88
2019-02-27,85
2019-02-28,88
2019-03-01,89
2019-03-02,93
2019-03-03,92
2019-03-04,89
2019-03-05,91
2019-03-06,91
2019-03-07,90
2019-03-08,90
2019-03-09,98
2019-03-10,90
2019-03-11,89
2019-03-12,89
2019-03-13,86
2019-03-14,88
2019-03-15,88
2019-03-16,95
2019-03-17,93
2019-03-18,95
2019-03-19,92
2019-03-20,89
2019-03-21,88
2019-03-22,89
2019-03-23,96
2019-03-24,93
2019-03-25,92
2019-03-26,90
2019-03-27,93
2019-03-28,91
2019-03-29,90
2019-03-30,96
2019-03-31,91
2019-04-01,89
